OBJECTID,CNTY_NM,CNTY_NBR,FIPS,DIST_NM,DIST_NBR,CREATE_USE,CREATE_DT,EDIT_NM,EDIT_DT,CMNT,SHAPE_area,SHAPE_len
142,Somervell,213,"48,425",Fort Worth,2,TPP,1/5/2015 9:24:38 AM,,,,"494,310,352.234762730000000","91,523.470610013697000"
143,Navarro,175,"48,349",Dallas,18,TPP,1/5/2015 9:24:38 AM,,,,"2,801,353,517.779901000000000","249,100.029408702690000"
144,Henderson,108,"48,213",Tyler,10,TPP,1/5/2015 9:24:38 AM,,,,"2,447,648,256.233771300000000","308,706.304737908470000"
145,Callahan,30,"48,059",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,323,873,835.113317000000000","192,858.636588839610000"
146,Rusk,201,"48,401",Tyler,10,TPP,1/5/2015 9:24:38 AM,,,,"2,422,926,374.176488900000000","249,800.133717198650000"
147,Eastland,68,"48,133",Brownwood,23,TPP,1/5/2015 9:24:38 AM,,,,"2,399,305,944.071663400000000","199,473.317148924310000"
148,Taylor,221,"48,441",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,371,585,982.742768300000000","195,186.736480224030000"
149,Erath,73,"48,143",Fort Worth,2,TPP,1/5/2015 9:24:38 AM,,,,"2,804,654,188.163056400000000","216,298.822143234920000"
150,Nolan,177,"48,353",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,358,447,858.186786200000000","194,299.670905406210000"
151,Panola,183,"48,365",Atlanta,19,TPP,1/5/2015 9:24:38 AM,,,,"2,117,708,924.380827200000000","209,227.327461384120000"
152,Mitchell,168,"48,335",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,365,427,944.080544000000000","194,659.607510048550000"
153,Howard,115,"48,227",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,332,929,003.283990900000000","193,213.338659759350000"
154,Martin,156,"48,317",Odessa,6,TPP,1/5/2015 9:24:38 AM,,,,"2,362,417,387.622517100000000","194,361.808945362920000"
155,Andrews,2,"48,003",Odessa,6,TPP,1/5/2015 9:24:38 AM,,,,"3,872,776,241.649103600000000","257,025.207750097850000"
156,Hood,112,"48,221",Fort Worth,2,TPP,1/5/2015 9:24:38 AM,,,,"1,136,364,291.697334800000000","141,174.518510595050000"
157,Johnson,127,"48,251",Fort Worth,2,TPP,1/5/2015 9:24:38 AM,,,,"1,893,514,380.787159700000000","184,294.418806186210000"
158,Ellis,71,"48,139",Dallas,18,TPP,1/5/2015 9:24:38 AM,,,,"2,455,541,832.205734700000000","225,032.045243929660000"
159,Smith,212,"48,423",Tyler,10,TPP,1/5/2015 9:24:38 AM,,,,"2,450,482,484.055803300000000","298,062.786401552960000"
160,Gregg,93,"48,183",Tyler,10,TPP,1/5/2015 9:24:38 AM,,,,"708,883,119.460247040000000","135,807.621304639380000"
161,Kaufman,130,"48,257",Dallas,18,TPP,1/5/2015 9:24:38 AM,,,,"2,084,159,496.303345700000000","204,269.681876742310000"
162,Harrison,103,"48,203",Atlanta,19,TPP,1/5/2015 9:24:38 AM,,,,"2,363,257,850.646355200000000","260,494.182362915660000"
163,Van Zandt,234,"48,467",Tyler,10,TPP,1/5/2015 9:24:38 AM,,,,"2,218,143,219.833621000000000","243,904.998639354800000"
164,Shackelford,209,"48,417",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,363,311,525.193410900000000","194,404.972962829020000"
165,Jones,128,"48,253",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,416,347,679.924143300000000","197,862.814081362830000"
166,Stephens,215,"48,429",Brownwood,23,TPP,1/5/2015 9:24:38 AM,,,,"2,378,760,143.622363600000000","194,989.341120893370000"
167,Fisher,77,"48,151",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,330,531,367.281710100000000","193,042.015803878660000"
168,Borden,17,"48,033",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,338,904,890.855636600000000","193,601.951763045160000"
169,Scurry,208,"48,415",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,347,880,278.269948500000000","193,261.872432922070000"
170,Dawson,58,"48,115",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,328,088,010.826070300000000","193,066.893525499440000"
171,Gaines,84,"48,165",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"3,879,036,414.661204300000000","257,308.171425554000000"
172,Upshur,230,"48,459",Atlanta,19,TPP,1/5/2015 9:24:38 AM,,,,"1,529,407,843.429695100000000","182,708.507012973830000"
173,Marion,155,"48,315",Atlanta,19,TPP,1/5/2015 9:24:38 AM,,,,"1,084,820,623.255181800000000","200,203.651859979610000"
174,Palo Pinto,182,"48,363",Fort Worth,2,TPP,1/5/2015 9:24:38 AM,,,,"2,543,403,053.213572500000000","205,427.354301956450000"
175,Parker,184,"48,367",Fort Worth,2,TPP,1/5/2015 9:24:38 AM,,,,"2,339,051,327.820791200000000","193,835.129949982710000"
176,Tarrant,220,"48,439",Fort Worth,2,TPP,1/5/2015 9:24:38 AM,,,,"2,332,752,345.690647100000000","193,361.286246208530000"
177,Dallas,57,"48,113",Dallas,18,TPP,1/5/2015 9:24:38 AM,,,,"2,344,544,409.679538200000000","193,523.885033818830000"
178,Rockwall,199,"48,397",Dallas,18,TPP,1/5/2015 9:24:38 AM,,,,"383,554,326.664607050000000","78,393.111571101777000"
179,Rains,190,"48,379",Paris,1,TPP,1/5/2015 9:24:38 AM,,,,"666,484,779.422371030000000","135,875.693758065750000"
180,Wood,250,"48,499",Tyler,10,TPP,1/5/2015 9:24:38 AM,,,,"1,794,954,011.475220000000000","222,985.278058318510000"
181,Camp,32,"48,063",Atlanta,19,TPP,1/5/2015 9:24:38 AM,,,,"524,923,255.448472500000000","141,417.668921606320000"
182,Stonewall,217,"48,433",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,392,432,694.094727000000000","196,349.699279608700000"
183,Haskell,105,"48,207",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,350,406,455.333409800000000","194,021.169295095260000"
184,Kent,132,"48,263",Abilene,8,TPP,1/5/2015 9:24:38 AM,,,,"2,305,982,390.023361200000000","192,066.178194029490000"
185,Throckmorton,224,"48,447",Wichita Falls,3,TPP,1/5/2015 9:24:38 AM,,,,"2,363,573,198.737586000000000","194,515.795148912290000"
186,Garza,86,"48,169",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,314,226,694.681375000000000","191,948.516959834410000"
187,Lynn,153,"48,305",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,305,761,130.702835600000000","192,164.973771642050000"
188,Young,252,"48,503",Wichita Falls,3,TPP,1/5/2015 9:24:38 AM,,,,"2,403,000,551.938581000000000","196,391.426843549880000"
189,Terry,223,"48,445",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,299,490,461.368725300000000","191,754.503169362200000"
190,Yoakum,251,"48,501",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,066,259,793.805211800000000","181,973.568609392620000"
191,Collin,43,"48,085",Dallas,18,TPP,1/5/2015 9:24:38 AM,,,,"2,288,277,116.197114000000000","194,748.206309679870000"
192,Denton,61,"48,121",Dallas,18,TPP,1/5/2015 9:24:38 AM,,,,"2,457,334,150.544012100000000","198,596.198175632510000"
193,Wise,249,"48,497",Fort Worth,2,TPP,1/5/2015 9:24:38 AM,,,,"2,382,450,528.497792700000000","195,326.423005080750000"
194,Hopkins,113,"48,223",Paris,1,TPP,1/5/2015 9:24:38 AM,,,,"2,048,439,247.891300200000000","233,614.422613372150000"
195,Morris,172,"48,343",Atlanta,19,TPP,1/5/2015 9:24:38 AM,,,,"665,521,281.869705800000000","162,432.421584534490000"
196,Hunt,117,"48,231",Paris,1,TPP,1/5/2015 9:24:38 AM,,,,"2,277,916,801.525421100000000","209,758.223636515290000"
197,Franklin,81,"48,159",Paris,1,TPP,1/5/2015 9:24:38 AM,,,,"761,454,862.395669700000000","149,690.396317990410000"
198,Jack,120,"48,237",Fort Worth,2,TPP,1/5/2015 9:24:38 AM,,,,"2,376,753,918.826911000000000","196,369.119807925370000"
199,Titus,225,"48,449",Atlanta,19,TPP,1/5/2015 9:24:38 AM,,,,"1,102,100,751.883180400000000","208,717.647160255180000"
200,Delta,60,"48,119",Paris,1,TPP,1/5/2015 9:24:38 AM,,,,"717,833,968.740485550000000","235,404.366302589590000"
201,Bowie,19,"48,037",Atlanta,19,TPP,1/5/2015 9:24:38 AM,,,,"2,383,322,642.827450300000000","413,303.552071190610000"
202,Knox,138,"48,275",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"2,210,399,800.175948100000000","217,505.404424501230000"
203,King,135,"48,269",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"2,361,016,508.411369800000000","194,612.341687900250000"
204,Dickens,63,"48,125",Childress,25,TPP,1/5/2015 9:24:38 AM,,,,"2,337,886,755.418972000000000","193,866.608390347570000"
205,Baylor,12,"48,023",Wichita Falls,3,TPP,1/5/2015 9:24:38 AM,,,,"2,327,441,435.379440800000000","193,023.641423632190000"
206,Crosby,54,"48,107",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,329,797,286.274324400000000","193,098.525368584550000"
207,Lubbock,152,"48,303",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,326,793,636.450786100000000","193,050.937376551500000"
208,Archer,5,"48,009",Wichita Falls,3,TPP,1/5/2015 9:24:38 AM,,,,"2,390,633,502.426218500000000","195,776.560067921640000"
209,Hockley,111,"48,219",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,348,545,600.074568300000000","193,940.050736525560000"
210,Cochran,40,"48,079",Lubbock,5,TPP,1/5/2015 9:24:38 AM,,,,"2,003,765,146.853838400000000","179,700.648734291490000"
